Date,Open,High,Low,Close,Adj Close,Volume
2014-12-08,143.050003,143.050003,141.949997,142.330002,126.707031,1945100
2014-12-09,142.130005,143.130005,140.880005,143.039993,127.339081,2090300
2014-12-10,144.940002,146.820007,139.399994,140.250000,124.855309,4910300
2014-12-11,141.089996,142.679993,140.669998,141.410004,125.888016,2401300
2014-12-12,139.990005,141.360001,137.830002,137.880005,122.745461,3663400
2014-12-15,138.649994,139.500000,137.059998,138.190002,123.021439,2451200
2014-12-16,138.529999,139.300003,136.550003,137.309998,122.238022,2470100
2014-12-17,137.309998,139.619995,136.779999,139.330002,124.036293,2428500
2014-12-18,140.179993,141.559998,139.289993,141.559998,126.021523,2903400
2014-12-19,141.500000,142.500000,141.330002,141.770004,126.208504,4030000
2014-12-22,142.339996,143.270004,141.850006,143.210007,127.490410,1776900
2014-12-23,144.529999,144.970001,143.669998,144.149994,128.327225,1459700
2014-12-24,144.559998,144.869995,143.600006,143.649994,127.882088,738700
2014-12-26,143.610001,143.869995,143.080002,143.440002,127.695175,1233100
2014-12-29,143.350006,143.850006,142.740005,143.339996,127.606140,1356400
2014-12-30,143.000000,144.089996,143.000000,143.490005,127.739685,1158800
2014-12-31,143.490005,144.130005,141.690002,141.750000,126.190659,1477900
2015-01-02,141.869995,143.149994,140.809998,141.610001,126.066025,1471000
2015-01-05,141.690002,142.160004,139.800003,140.000000,124.632767,1748500
2015-01-06,140.610001,142.940002,139.850006,141.850006,126.279709,3185200
2015-01-07,142.600006,144.429993,142.360001,144.320007,128.478561,2171600
2015-01-08,145.559998,146.100006,144.940002,145.559998,129.582474,2937700
2015-01-09,144.479996,145.050003,143.220001,143.320007,127.588348,1727000
2015-01-12,143.580002,144.160004,142.119995,142.520004,126.876152,1340600
2015-01-13,142.199997,144.410004,140.389999,141.089996,125.603104,2198500
2015-01-14,140.009995,140.210007,138.240005,139.309998,124.018494,2207900
2015-01-15,139.949997,140.169998,138.619995,139.309998,124.018494,1819600
2015-01-16,139.039993,139.960007,138.220001,139.720001,124.383492,1784800
2015-01-20,140.720001,141.270004,138.360001,139.380005,124.080826,1836100
2015-01-21,138.850006,139.699997,138.380005,139.139999,123.867165,1682000
2015-01-22,139.500000,141.279999,138.389999,141.270004,125.763382,1897500
2015-01-23,141.589996,142.309998,140.869995,142.050003,126.457741,1696800
2015-01-26,141.660004,143.050003,141.570007,142.910004,127.223343,1482800
2015-01-27,142.750000,142.800003,140.869995,140.990005,125.514122,1786500
2015-01-28,141.600006,142.449997,139.559998,139.619995,124.294456,2016300
2015-01-29,140.160004,140.690002,138.910004,140.639999,125.202499,1873400
2015-01-30,143.089996,143.800003,141.339996,142.990005,127.294548,5169000
2015-02-02,144.000000,146.229996,140.130005,146.000000,129.974136,4797500
2015-02-03,146.360001,153.889999,144.770004,153.750000,136.873459,9018400
2015-02-04,152.080002,156.850006,152.070007,155.919998,138.805267,11006300
2015-02-05,149.500000,151.100006,147.520004,149.089996,137.122192,6986700
2015-02-06,149.210007,149.949997,148.160004,148.699997,136.763504,2909200
2015-02-09,148.699997,149.160004,146.820007,147.539993,135.696625,2740200
2015-02-10,147.990005,148.479996,147.000000,148.220001,136.322006,1703400
2015-02-11,148.389999,148.479996,146.550003,147.460007,135.948669,2295800
2015-02-12,148.009995,148.389999,146.860001,147.759995,136.225220,1712200
2015-02-13,148.229996,148.800003,146.940002,147.100006,135.616760,1926800
2015-02-17,147.000000,147.610001,145.660004,147.529999,136.013138,1541500
2015-02-18,147.160004,147.479996,146.529999,147.229996,135.736572,1533700
2015-02-19,146.899994,147.509995,146.460007,146.669998,135.220322,1273700
2015-02-20,146.669998,147.789993,145.899994,147.539993,136.022415,1595600
2015-02-23,148.000000,148.460007,147.029999,148.389999,136.806015,1587300
2015-02-24,149.380005,149.399994,148.000000,148.210007,136.640060,1841900
2015-02-25,147.699997,148.600006,147.190002,147.479996,135.967072,1602700
2015-02-26,147.070007,147.610001,146.199997,146.649994,135.201889,1892600
2015-02-27,147.559998,147.559998,145.830002,146.960007,135.487656,3036200
2015-03-02,147.320007,148.490005,147.320007,147.940002,136.391159,2108600
2015-03-03,147.940002,148.139999,146.660004,147.369995,135.865677,1514300
2015-03-04,147.839996,147.979996,145.779999,147.169998,135.681274,2200700
2015-03-05,150.770004,151.750000,149.000000,151.169998,139.369003,4471100
2015-03-06,149.289993,150.149994,148.169998,149.539993,137.866226,3014900
2015-03-09,149.789993,150.990005,149.550003,150.679993,138.917282,1727900
2015-03-10,149.750000,150.149994,148.149994,148.160004,136.593979,2101300
2015-03-11,148.330002,148.990005,147.339996,147.399994,135.893295,1734300
2015-03-12,148.380005,149.639999,147.399994,149.440002,137.774094,1564000
2015-03-13,149.089996,149.910004,148.149994,149.279999,137.626556,1470100
2015-03-16,149.720001,151.000000,149.279999,149.990005,138.281128,2532700
2015-03-17,149.389999,150.199997,148.429993,150.029999,138.318008,1970000
2015-03-18,150.000000,151.630005,148.250000,150.929993,139.147751,2772500
2015-03-19,151.000000,151.500000,150.320007,151.309998,139.498108,1862900
2015-03-20,152.130005,153.149994,151.750000,152.589996,140.678162,5859300
2015-03-23,153.149994,153.559998,152.699997,152.929993,140.991592,1665900
2015-03-24,152.949997,154.229996,152.889999,153.139999,141.185211,1637000
2015-03-25,153.550003,153.960007,151.089996,151.089996,139.295258,2266800
2015-03-26,149.320007,150.770004,149.169998,150.059998,138.345642,1554800
2015-03-27,150.210007,151.220001,150.020004,150.470001,138.723663,1320300
2015-03-30,150.910004,152.589996,150.800003,152.369995,140.475357,1463800
2015-03-31,151.839996,153.000000,151.250000,151.500000,139.673248,1886100
2015-04-01,151.830002,151.869995,149.699997,150.240005,138.511597,1791100
2015-04-02,150.470001,152.000000,150.360001,151.630005,139.793091,1095300
2015-04-06,151.369995,152.839996,150.600006,152.500000,140.595184,1767600
